0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:31:58 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=1 HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:32:01 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:33:40 +0900] "GET /jsp_project/board/board1Pass.jsp HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:33:41 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:34:23 +0900] "GET /jsp_project/board/board1Pass.jsp HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:34:26 +0900] "POST /jsp_project/board/board1Delete.jsp HTTP/1.1" 500 4199
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:34:33 +0900] "GET /jsp_project/board/board1Pass.jsp HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:34:35 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:34:38 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:34:43 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=10 HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:34:44 +0900] "GET /jsp_project/board/board1Delete.jsp?unq10 HTTP/1.1" 500 4199
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:35:30 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:35:32 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=3 HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:35:33 +0900] "GET /jsp_project/board/board1Delete.jsp?unq3 HTTP/1.1" 500 4199
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:35:43 +0900] "GET /jsp_project/board/board1Modify.jsp?unq=3 HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:36:26 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:36:27 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=4 HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:36:29 +0900] "GET /jsp_project/board/board1Delete.jsp?unq4 HTTP/1.1" 500 4160
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:39:01 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:39:02 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=3 HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:39:03 +0900] "GET /jsp_project/board/board1Delete.jsp?unq3 HTTP/1.1" 500 4199
